alr	Alanine racemase
napA	Nitrate reductase, periplasmic
napF	Required for NapAB nitrate-dependent growth with ubiquinone; not essential for electron transfer from ubiquinol or menaquinol to NapAB (Brondijk, 2002); may have energy-conservng role in ubiquinol oxidation; non-haem, iron-sulphur protein
mqo	Malate oxidoreductase; possibly previously described FAD-dependent phospholipid-activated malate oxidase
yojI	Microcin J25 efflux pump, TolC-dependent
apbE	Lipoprotein involved in thiamine synthesis; primarily characterized in Salmonella
mokC	Overlapping regulatory peptide, enables hokC expression
nikA	Nickel-binding, heme-binding periplasmic protein; Tar-dependent Ni-repellant chemosensor; Fnr-dependent
nikB	Nickel transport system permease
nikC	Nickel transport system permease
nikD	Nickel transport ATP-binding protein
nikE	Nickel transport ATP-binding protein
recX	Blocks RecA filament extension; inhibitor of RecA ATPase, recombinase and coprotease activities; null mutant and over-expressors have reduced resistance to DNA damage; binding to RecA is antagonized by RecF
ppdA	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotaxis; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methyltyrosine
nuoA	NADH:ubiquinone oxidoreductase subunit A, complex I; NADH dehydrogenase I
nuoB	NADH:ubiquinone oxidoreductase subunit B, complex I; NADH dehydrogenase I
nuoC	NADH:ubiquinone oxidoreductase, fused CD subunit, complex I; NADH dehydrogenase I
nuoE	NADH:ubiquinone oxidoreductase subunit E, complex I; NADH dehydrogenase I
nuoG	NADH:ubiquinone oxidoreductase subunit G, complex I; NADH dehydrogenase I
nuoH	NADH:ubiquinone oxidoreductase subunit H, complex I; NADH dehydrogenase I
nuoI	NADH:ubiquinone oxidoreductase subunit I, complex I; NADH dehydrogenase I
nuoJ	NADH:ubiquinone oxidoreductase subunit J, complex I; NADH dehydrogenase I
nuoK	NADH:ubiquinone oxidoreductase subunit K, complex I; NADH dehydrogenase I
nuoL	NADH:ubiquinone oxidoreductase subunit L, complex I; NADH dehydrogenase I; NuoL facilitates the uptake of Na(+), is homologus to antiporters, and is implicated in proton pumping
nuoN	NADH:ubiquinone oxidoreductase subunit N, complex I; NADH dehydrogenase I
sgrR	Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA
secG	SecYEG inner membrane translocon secA-interacting subunit; preprotein translocase secAYEG subunit; preprotein translocase secAYEG subunit
chpB	ChpB toxin and mRNA interferase, antitoxin is ChpS; reversible inhibitor of translation, by mRNA cleavage
yfiH	Function unknown, UPF0124 family
rluD	23S rRNA pseudouridine synthase; specific to U1911, U1915, and U1917; mutation supresses ftsH(Ts) mutants; null mutants grow very poorly
efp	Elongation factor EF-P, stimulates fMet dipeptide synthesis
tktB	Transketolase B; binds Zn(II)
feoA	Ferrous iron uptake, required for full FeoB activity
feoB	Ferrous iron uptake GTP-binding membrane protein; N-terminus is a cytoplasmic G protein
yeiR	Function unknown
yeiE	Probable positive regulator of lysP transcription
hofB	Homologous to PilB of Pseudomonas aeruginosa; function not established, insertion mutation gives no phenotype
ppdD	Type IV pilin; function unknown; first 6 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
norR	Transcription regulator for norVW, NO-responsive; Sigma54-dependent activator with a GAF domain
ydcF	SAM-binding protein, function unknown; low abundance protein
nlpD	Lipoprotein, function unknown; may be OM protein involved in cell wall formation and may have murein hydrolytic activity
alpA	Alp protease, CP4-57 putative defective prophage; regulates intA (slp [suppressor of Lon])
hofQ	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComE homolog
prfC	Peptide chain release factor 3, RF-3; stimulates activity of RF-1 and RF-2
yjjG	Noncanonical pyrimidine nucleotide house-cleaning phosphatase; dUMP phosphatase activity
acrR	Transcriptional repressor for acrAB
ychJ	Function unknown, UPF0225 family
rssA	Conserved protein, patatin-like family, function unknown
rssB	Response regulator binding RpoS to initiate proteolysis by ClpXP; major cognate sensor kinase is ArcB
yggI	Function unknown
lrhA	Transcriptional repressor of flagellar and motility master regulator FlhDC; autoregulator; mutation confers lower RpoS levels, modulates rssB activity
hisJ	Histidine-binding protein of high-affinity histidine transport system
hisQ	Histidine transport permease
kdpF	Inner membrane protein for high-affinity potassium transport
treB	Trehalose permease PTS EIIBC component
lgt	Phosphatidylglycerol:prolipoprotein diacylglycerol transferase
uraA	Uracil permease; affects concentration dependence of pyr mutants
hscA	Hsc66, DnaK-like chaperone, specific for IscU; involved in FtsZ-ring formation; HscB is the J-like co-chaperone for HscA
hscB	Hsc20, DnaJ-like co-chaperone for HscA; specific for IscU
iscA	Recruit and deliver Fe for Fe-S cluster assembly in IscU; possibly an alternative scaffold for Fe-S cluster assembly
ucpA	Predicted  short-chain oxidoreductase
rhtA	Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine
ompX	Outer membrane protein X; role in inducing RNAP-sigma E production
mdtD	Predicted transporter, function unknown; no MDR phenotype when mutated or cloned; fourth gene in mdtABCDbaeRS operon
nlpE	Lipoprotein activating Cpx in response to adhesion; copper resistance; outer membrane protein
yaeF	Predicted lipoprotein, function unknown; Cys conserved
yfhG	OM protein affecting QseEF response in EPEC; autorepressor activity in EPEC; required for translocation of TTSS effectors in EPEC; transcription activated by AI-3/epinephrine/norepinephrine via QseC in EPEC
ydhB	Function unknown, LysR family of transcriptional regulators
ydhC	Putative transporter, function unknown; no overexpression resistances found
sdaC	Serine:H+ symport permease, threonine-insensitive
napD	Twin-arginine signal-peptide-binding chaperone for NapA
pgm	Phosphoglucomutase
yhbJ	Senses glucosamine-6-phosphate and inactivates glmZ sRNA; NTPase
npr	NPr, N-regulated HPr-like protein
galP	D-Galactose/H+ symporter
asr	Acid shock-inducible periplasmic protein required for acid tolerance; expression controlled by phoBR
cobS	Cobalamin synthase; partial cobalamin biosynthesis pathway present in E. coli
cobT	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase; partial cobalamin biosynthesis pathway present in E. coli
idnK	D-gluconate kinase
narU	Nitrite extrusion protein 2
sieB	Superinfection exclusion protein, Rac prophage
kilR	Killing function of the Rac prophage during zygotic induction; causes cell division arrest and altered cell morphology, suppressed by ftsZ overexpression
ydaE	Metallothionein, function unknown, Rac prophage
ydaF	Function unknown, Rac prophage
rdgC	Competitive inhibitor of RecA function; nucleoid-associated ssDNA and dsDNA binding protein; synthetic lethal with priA
yaiE	Function unknown, UPF0345 family
rsmB	16S rRNA m(5)C967 methyltransferase, SAM-dependent
ytjC	Probable phosphoglycerate mutase B
mukF	Chromosome condensin MukBEF, kleisin-like subunit, binds calcium
ycbC	conserved protein, DUF218 superfamily, function unknown
smtA	Putative methyltransferase, SAM-dependent, Hns-regulated
brnQ	Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val; mutants are valine and o-methylthreonine resistant, glycylvaline sensitive
ccmD	ABC transporter, required for holoCcmE release; CcmABCD transporter complex
yjjI	Putative glycine radical enzyme, function unknown
hinT	Purine nucleoside phosphoramidase; aminoacyl-adenylate hydrolase; physological role unknown
gspM	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA
ydaG	Expressed protein, function unknown, Rac prophage
yjdC	Putative transcriptional repressor, function unknown
cutA	Copper sensitivity, binds Cu(II); possible role in cytochrome c maturation; trimeric
dsbD	Transmembrane protein-disulfide reductase, transfers electrons from cytoplasmic thioredoxin to the periplasm
cspE	Binds and melts RNA, involved in cold acclimation; binds ssDNA; antitermination protein; confers camphor sensitvity in a crcB mutant; dimeric
pagP	Palmitoyl transferase for Lipid A; confers resistance to cationic antimicrobial peptides; multicopy suppressor of camphor-induced or mukB mutant chromosome condensation
grxD	Monothiol glutaredoxin Grx4, with CxxS motif; substrate for thioredoxin reductase; essential gene
yajG	Probable lipoprotein, function unknown; Cys conserved
ampG	Muropeptide permease, imports GlcNAc-anhMurNAc-peptides; required for cloned Citrobacter freundii AmpR-regulated beta-lactamase induction and murein recycling
nudF	ADP-sugar pyrophosphatase; sole ADP-glucose hydrolase, activity limits glycogen production; one of several ADP-ribose hydrolases; creBC regulon; non-essential
yqiB	Function unknown
yqiA	Acyl CoA esterase in vitro, physiological function unknown
cpdA	3',5' cAMP phosphodiesterase; mutants have elevated cAMP levels
ptsP	PTS PEP-protein phosphotransferase Enzyme I (Ntr)
hemF	Coproporphyrinogen III oxidase, oxygen-dependent; stimulated by manganese; dimeric
eutR	eut operon transcriptional activator, AraC family; concerted induction requires both B12 and ethanolamine; autoregulatory
glnK	Potent activator of NRII(GlnL/NtrB) phosphatase; trimeric; regulated through NRI/NRII two-component regulatory system; binds to membrane when inhibiting AmtB
nadK	ATP-NAD kinase
cbpA	DnaK co-chaperone, binds curved DNA
cbpM	Modulator of CbpA co-chaperone activity
torD	Redox enzyme maturation protein (REMP) for TorA; cytoplasmic chaperone for TorA activation; GTPase; protects TorA TAT signal peptide from degradation
yccE	Function unknown
seqA	Sequesters newly replicated hemimethylated oriC origins to prevent re-initiation; binds hemimethylated GATC sequences; SeqA foci required for chromosome segregation; binds and stimulates Topo IV
chbG	Member of chb operon, function unknown
yegD	Putatitve DnaK-like chaperone, function unknown
ygaC	Function unknown; Fur regulon
treR	Repressor of trehalose operon
cspB	Cold shock protein, Qin prophage; cold shock inducible
cspC	Multicopy suppressor of mukB; cold shock protein homolog constitutively expressed at 37C; affects rpoS and uspA expression
cspF	Cold shock protein homolog, Qin prophage; not cold-inducible
rlmA	23S rRNA m(1)G745 methyltransferase, SAM-dependent; mutant has slow growth rate, slow chain elongation rate, and viomycin resistance
crcB	Inner membrane protein involved with chromosome condensation; confers camphor sensitvity in a cspE mutant; multicopy suppressor of chromosome condensation defects; inner membrane protein
rfaF	ADP-heptose:LPS heptosyltransferase II
yhhK	Function unknown
yhhL	Function unknown, DUF1145 family
yhhM	Function unknown, DUF2500 family
yhhN	Predicted inner membrane protein, TMEM86 family, function unknown
zntA	Zn(II), Cd(II), and Pb(II) translocating P-type ATPase; mutant is hypersensitive to Zn and Cd salts
sirA	2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis; motility defect; affects RpoS stability; growth defects suppressed by multicopy ftsZ or dksA
yhhQ	Inner membrane protein, DUF165 family, has predicted PurR box
dcrB	Probable lipoprotein required for phage C1 adsorption; periplasmic; Cys conserved
yhhS	Predicted transporter, function unknown; inner membrane protein
yhhT	Predicted membrane permease, inner membrane protein, function unknown; UPF0118 family
acpT	CoA-phosphopantetheinyltransferase; native apo-protein substrate unknown, possibly a back-up gene for acpS; multicopy suppressor of acpS1, can modify ACP when overexpressed
rbbA	Ribosome-associated ATPase, required for protein synthesis; Protein W; binds protein S1
yhiI	Predicted membrane fusion protein (MFP) of efflux pump; function unknown; signal anchor
yhiJ	Function unknown
yhiM	Inner membrane protein, DUF1323 family, function unknown,
yhiN	Predicted oxidoreductase, function unknown
pitA	Low-affinity Pi transport protein
uspB	Universal stress protein B, confers ethanol resistance in stationary phase; sigma S-regulated gene divergent from uspA
dtpB	Dipeptide and tripeptide permease B
yhiQ	Predicted SAM-dependent methyltransferase, function unknown
yhiR	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComJ homolog
arsR	Arsenate resistance operon repressor; resistance to arsenate, arsenite, and antimonite
arsB	Arsenite pump, inner membrane; resistance to arsenate, arsenite, and antimonite
arsC	Arsenate reductase; resistance to arsenate, arsenite, and antimonite
mdtE	MdtEF-TolC multidrug resistance efflux transporter; membrane fusion protein (MFP) component, lipoprotein; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenotype
mdtF	MdtEF-TolC multidrug resistance efflux RND-type transporter; overexpression resistance to erythromycin, deoxycholate, octane and rhodamine; no mutant phenoype
gadW	Transcriptional activator of gadA and gadBC in absence of GadX; repressor of gadX
gadX	Transcriptional activator for gadA and gadBC, AraC family; repressed by HNS and GadW; stimulated by RpoS
yhjA	Probable cytochrome c peroxidase; mutants are sensitive to peroxide during anaerobic growth
treF	Cytoplasmic trehalase
yhjB	Predicted two-component system response regulator, function unknown; CheY-like receiver domain, LuxR-like HTH domain; cognate sensor protein is unknown
yhjC	Predicted transcriptional regulator, function unknown
yhjD	Suppressor of msbA and KDO essentiality; putative alternate lipid exporter
yhjE	Predicted transporter, function unknown; inner membrane protein
yhjG	Inner membrane protein, AsmA family, function unknown
yhjH	Cyclic-di-GMP phosphodiesterase, FlhDC-regulated; suppresses motility defect of hns mutants in multicopy
kdgK	Ketodeoxygluconokinase
yhjJ	Probably secreted protease homolog, function unknown
yhjK	Predicted c-di-GMP dual activity enzyme, function unknown; expressed protein
bcsC	Oxidase involved in cellulose synthesis
bcsZ	Endo-1,4-D-glucanase; breaks down carboxymethylcellulose; periplasmic cellulase
bcsB	Cellulose synthase, regulatory subunit; may bind cyclic-di-GMP; probably periplasmic
bcsA	Celullose synthase, catalytic subunit; inner membrane protein
yhjR	Putative protein, function unknown
bcsE	Required for cellulose production in Salmonella
bcsF	Small membrane protein in an operon required for cellulose production in Salmonella
bcsG	Preinner membrane protein, predicted endoglucanase, DUF3260 family; in operon required for cellulose production in Salmonella; endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose
yhjV	Putative amino acid:H+ symport permease, function unknown
eptB	KDO phosphoethanolamine transferase, Ca(2+)-inducible; required for Ca(2+) tolerance of heptose-deficient cells
yhjX	Predicted transporter, function unknown; inner membrane protein
yhjY	Putative outer membrane protein, function unknown
yiaC	Predicted acetyltransferase
yiaD	Novel verified lipoprotein, function unknown; OmpA homolog
ghrB	Glyoxylate/hydroxypyruvate reductase B; 2-ketogluconate reductase; activity higher on hydroxypyruvate than glyoxylate
yiaF	Probable lipoprotein, function unknown; Cys conserved
wecH	O-acetyltransferase for enterobacterial common antigen (ECA)
xylG	D-Xylose ABC transporter ATP-binding subunit, fused tandem domains
xylH	D-xylose ABC transporter permease subunit
yiaJ	Transcriptional repressor of yiaK-S operon involved with metabolism of an unknown carbohydrate; IclR homolog
yiaK	L-dehydroascorbate (2,3-diketo-L-gulonate) reductase, NADH-dependent
yiaL	Function unknown; in operon possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
yiaM	L-dehydroascorbate transporter, TRAP permease small subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
yiaN	L-dehydroascorbate transporter, TRAP permease large subunit; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
yiaO	L-dehydroascorbate transporter, periplasmic binding protein; TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO
lyxK	L-xylulose kinase; novel pathway for utilization of lyxose via xylulose through rhamnose and pentose pathways; 3-keto-L-gulonate kinase; possibly involved in the utilization of L-dehydroascorbate (2,3-diketo-L-gulonate)
yiaQ	3-keto-L-gulonate-6-phosphate decarboxylase; required for the aerobic utilization of L-ascorbate
yiaR	L-xylulose 5-phosphate 3-epimerase; required for the aerobic utilization of L-ascorbate
yiaS	L-ribulose 5-phosphate 4-epimerase; required for the aerobic utilization of L-ascorbate
yiaT	Predicted outer membrane protein, function unknown
yiaU	Function unknown
yiaV	Function unknown; putative membrane fusion protein (MFP) component of efflux pump, signal anchor
yiaW	Inner membrane protein, DUF3302 family, function unknown
aldB	Aldehyde dehydrogenase, NADP-dependent; tetrameric
yiaY	Predicted iron-containing alcohol dehydrogenase, function unknown
grxC	Glutaredoxin 3
yibN	Predicted rhodanese, function unknown
gpmM	Phosphoglycerate mutase, Mn-dependent; monomeric
envC	Murein hydrolase septal ring factor, periplasmic; sensitivity to crystal violet; filamentous
yibQ	Function unknown
rutR	Repressor for rut operon; pyrimidine nitrogen catabolism
tmk	Thymidylate kinase
ycfH	Predicted DNAse, tatD paralog, no Tat phenotype
sapD	Antimicrobial peptide transport ABC system ATP-binding protein; required for ATP-dependence of Trk K+ uptake systems
sapF	Antimicrobial peptide transport ABC system ATP-binding protein
yccF	Inner membrane protein, DUF307 family, function unknown
mgsA	Methylglyoxal synthase
yfhH	Function unknown
yjtD	Putative methyltransferase, function unknown
pepB	Peptidase B; broad specificity aminopeptidase
iscX	Function unknown; downstream of fdx, isc genes; binds IscS; possibly involved in Fe-S cluster assembly
coaE	Dephospho-CoA kinase; final step in CoA synthesis
yacF	Function unknown
yacG	DNA gyrase inhibitor; Zn(2+)-binding protein
yacH	Function unknown
acnB	Aconitase B; 2-methylaconitate hydratase; apo-enzyme binds mRNA for negative translational autoregulation; iron-sulfur cluster; monomeric
cueO	Multicopper oxidase (laccase), confers copper tolerance; oxidizes model substrate dimethoxyphenol; in vitro ferroxidase and phenoloxidase activities; regulated by copper-responsive CueR activator
can	Carbonic anhydrase, beta class
yadG	ABC family transporter ATPase, function unknown
yadH	ABC family transporter permease, function unknown
yadI	Predicted PTS Enzyme IIA, sugar specificity unknown
yfaD	Predicted transposase, function unknown
yadK	Function unknown
yadL	Function unknown
yadM	Function unknown, FimA homolog
yadN	Function unknown, FimA homolog
hrpB	Predicted ATP-dependent helicase, function unknown
ligT	2'-5' RNA ligase
clcA	H(+)/Cl(-) exchange transporter; voltage-gated ClC-type chloride channel; involved in the extreme acid response
erpA	Iron-sulfur cluster insertion protein; A-type Fe-S protein; essential for respiratory growth
yadS	Inner membrane protein, UPF0126 family, function unknown
btuF	B12 uptake, ABC transporter periplasmic binding protein
cdaR	Transcriptional regulator for gar and gud operons
yaeH	Function unknown, UPF0325 family
yaeI	Phosphodiesterase, function unknown; has activity on model substrate bis-pNPP
yagA	Function unknown, CP4-6 putative prophage remnant
afuC	Uncharacterized ATPase with defective ABC transporter; probably silent; CP4-6 putative prophage remnant; missing its promoter and co-functional components; homologous to an iron-uptake system gene in Actinobacillus
rseA	Anti-RpoE sigma factor, spans inner membrane
yjjJ	Function unknown
yjjK	Predicted ABC transporter, ATP-binding protein; low abundance protein
pspF	Transcriptional sigma 54-dependent activator of psp
ydfG	L-allo-threonine dehydrogenase, NADP+-dependent; other substrates include L-serine, D-serine, D-threonine and 3-hydroxyisobutyrate
hokA	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
yecC	Predicted ABC transport ATP-binding protein, function unknown; part of putative YecCS amino acid ABC transporter
ppiC	Peptidylprolyl-cis-trans isomerase C, rotamase
yifL	Probable lipoprotein, function unknown; Cys conserved
yaeJ	Function unknown
rtcR	Transcriptional regulator for rtcAB
fadK	Acyl-CoA synthase, anaerobic
ssuB	Aliphatic sulphonate transport ATP-binding protein; sulfur starvation inducible; Cbl regulon
ybgD	Function unknown, FimA homolog
yfaE	Ferredoxin involved with ribonucleotide reductase cofactor; diferric-tyrosyl radical (Y*) cofactor maintenance
kduD	2-deoxy-D-gluconate 3-dehydrogenase
menF	Isochorismate synthase, menaquinone biosynthesis
ygiL	Function unknown, FimA homolog
prkB	Predicted phosphoribulokinase
rsmE	16S rRNA m(3)U1498 methyltransferase, SAM-dependent
cusA	Silver and copper efflux, membrane transporter; overexpression confers low level fosfomycin resistance; confers copper and silver resistance
znuB	High-affinity ABC transport system for zinc
ydjE	Predicted transporter, function unknown; inner membrane protein
intE	e14 integrase, in defective prophage
nlpI	Lipoprotein involved in osmotic sensitivity and filamentation
ygdG	Ssb-binding protein, synthetic lethal with polA; no nuclease activity detected; flap endonuclease-like (FEN-like) protein
ygdH	Function unknown, UPF0717 family
yhfG	Function unknown
ycaI	Competence protein ComEC homolog, inner membrane protein, function unknown
yfeH	Required for swarming phenotype, function unknown
yecD	Function unknown
yecE	Function unknown, UPF0759 family
gntT	High-affinity gluconate transport
nrdF	Ribonucleoside-diphosphate reductase 2, beta subunit; class Ib aerobic ribonucleotide reductase
fxsA	Suppresses F exclusion of phage T7
ybcF	Carbonate kinase homolog, function unknown
rcsD	Intermediate facilitates phosphotransfer from rcsC to rcsB; histidine protein kinase
csiR	Repressor of csiD promoter
lhgO	L-2-hydroxyglutarate oxidase; second gene in csiD-lhgO-gabDTP-csiR operon
sfmF	Function unknown, FimA homolog
nanC	N-acetylneuraminic acid outer membrane channel protein
ydiE	Function unknown, hemin uptake protein HemP homolog
ychM	Function unknown
ttdT	L-tartrate/succinate antiporter; needed for L-tatrate uptake and tartrate induction of ttdAB
msrB	Methionine sulfoxide reductase B; specific for met-R-(o) diastereoisomers within proteins; mutant is cadmium sensitive; free met-R-(o) is inefficiently reduced by MsrB
ybgE	Function unknown, cydAB operon, expressed in minicells
yegE	Predicted c-di-GMP dual activity enzyme, function unknown
ycbF	Putative periplasmic pilus chaperone, function unknown
dhaM	Multidomain dihydroxyacetone-specific PTS protein; phosphoryl donor for dihydroxyacetone kinase; DhaK(2):DhaL:DhaM(2) complex
mdtK	Multidrug resistance efflux protein, 12 transmembrane helices; overexpression resistance to norfloxacin, TTP, deoxycholate, trimethoprim
rlmN	23S rRNA m(2)A2503 methyltransferase, SAM-dependent
chaB	Accessory and regulatory protein for chaA
chaC	Accessory and regulatory protein for chaA
ychN	Function unknown; dimer of trimers
ychO	Intimin/invasin homolog, function unknown
ybiH	Predicted transcriptional regulator, function unknown
iaaA	isoAsp aminopeptidase, cleaves isoAsp-X dipeptides; Ntn hydrolase; glutathione utilization; weak L-asparaginase activity in vitro (EcAIII); precursor is cleaved into an alpha and beta subunit; heterotetrameric
aegA	Predicted oxidoreductase, Fe-S subunit; induced by anaerobiosis, repressed by NO3; ygfT paralog
nudK	GDP-mannose pyrophosphatase
rfbD	dTDP-L-rhamnose synthase
rfbB	TDP-glucose oxidoreductase-4,6 dehydratase
intS	Integrase, CPS-53/KpLE1 prophage
gatA	Galactitol-specific enzyme IIA of phosphotransferase system (PTS)
gatB	Galactitol-specific enzyme IIB of PTS
gatC	Galactitol-specific enzyme IIC of PTS
gatD	Galactitol-1-phosphate dehydrogenase
gatZ	Tagatose bisphosphate aldolase GatYZ subunit; required for full activity and stabilty of GatY
gatY	D-Tagatose-1,6-bisphosphate aldolase, class II; requires GatZ subunit for full activity and stability
yfdC	Function unknown
ybiI	Function unknown, DksA-type zinc finger protein
ybiJ	Predicted periplasmic protein, YhcN family, function unknown
tauD	Taurine/alpha-ketoglutarate dioxygenase
prmC	Release factor (RF1, RF2) glutamine methyltransferase
ogrK	Positive regulator of P2 growth (insertion of P2 ogr gene)
modA	Molybdate uptake; chlorate resistance; periplasmic molybdate binding protein
tomB	Attenuates Hha toxicity, possibly by blocking activation of prophage lytic genes; promotes conjugation and conjugation-induced biofilms; deceases motility in presence of a conjugative plasmid (R1drd19)
puuR	Transcriptional repressor for the puu divergon; putrescine utilization pathway
ydiF	Short-chain acyl-CoA transferase, in vivo function unknown
rluB	23S rRNA U2605 pseudouridine synthase
ygiM	SH3 domain protein, function unknown
rseP	Inner membrane zinc RIP metalloprotease; activates RpoE by degrading RseA; multicopy rpoE suppresses rseP mutation
menE	o-succinylbenzoate-CoA synthase; homotetrameric; menaquinone biosynthesis
menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase; menaquinone biosynthesis
yjfF	Predicted ABC transporter permease protein; part of a predicted ABC transporter YtfQRT-YjfF probably specific for galactofuranse transport
mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase; recycles cell wall peptidoglycan
yfjD	Inner membrane protein, UPF0053  family, function unknown; four transmembrane helices predicted; possibly involved in Co2+ resistance
yggL	Conserved protein, DUF469 family, function unknown
ycfJ	Putative periplasmic protein, UmoD homolog
eamB	Cysteine and O-acetylserine exporter, inner membrane protein
yfiL	Novel verified lipoprotein, function unknown
speG	Spermidine acetyltransferase
ybcH	Function unknown
prmB	50S subunit L3 protein glutamine methyltransferase
norW	NADH:flavoruberedoxin reductase
rspA	Bifunctional D-altronate/D-mannonate dehydratase; overproduction prevents homoserine lactone-induced synthesis of RpoS
rspB	Function unknown, transcribed with rspA, starvation induced
rraB	Protein inhibitor of RNase E
ybaK	Cys-tRNAPro and Cys-tRNACys deacylase, tRNA editing
lplT	Lysophospholipid transporter
gadC	Predicted glutamate-GABA antiporter; glutamate-dependent enzyme, may function in protection against cytoplasmic acidification
ydgA	Required for swarming phenotype, DUF945 family, function unknown; slightly upregulated by beryllium
alsB	Allose-binding protein, periplasmic
rpiR	Repressor for als operon and rpiB
yjcZ	Function unknown
adiC	Arginine:agmatine antiporter; arginine-dependent acid resistance; acid-inducible membrane protein
yjdF	Function unknown
dcuR	C4-dicarboxylate regulation of anaerobic fumurate respiratory system; two-component system response regulator
dcuS	C4-dicarboxylate regulation of anaerobic fumurate respiratory system; two-component system sensory histidine kinase
yjdI	Function unknown
yjdJ	Predicted acetyltransferase
yjdK	Function unknown
yjdL	Probable dipeptide and tripeptide permease; membrane protein
yjeH	Putative transporter, function unknown
yjeI	Novel verified lipoprotein, function unknown
yjeJ	Function unknown
yjeK	Weak lysine 2,3-aminomutase
blc	Outer membrane lipoprotein, cell division and growth function; prokaryotic lipocalin
yjeM	Putative transporter, function unknown
yjeN	Function unknown
yjeO	Inner membrane protein, function unknown
yjeP	Predicted mechanosensitive channel protein, function unknown; deletion mutant has no obvious phenotype
rsgA	Ribosome-stimulated GTPase, 30S subunit assemby; low adundance protein; putative RNA binding protein
orn	3' to 5' oligoribonuclease; mutants accumulate oligoribonucleotides that are 2-5 residues long
yjeS	Putative electron transport protein, iron-sulfur center
yjeT	Function unknown, DUF2065 family
rlmB	23S rRNA mG2251 methyltransferase, SAM-dependent
yjfI	Function unknown, DUF2170 family
yjfJ	Function unknown, PspA/IM30 family
yjfK	Function unknown, DUF2491 family
yjfL	Inner membrane protein, UPF0719 family, function unknown
yjfM	Function unknown, DUF1190 family
bsmA	Confers peroxide resistance in bioflms; mutants are hypermotile on soft agar; YhcN family, probable lipoprotein, function unknown; Cys conserved
yjfP	Acyl CoA esterase actviity in vitro, function unknown
ulaR	Repressor for the L-ascorbate utilization (ula) divergon
ulaG	L-ascorbate-6-phosphate lactonase, involved in the utilization of L-ascorbate by anaerobic fermentation; has phosphodiesterase activity
ulaA	PTS Enzyme IIC transport protein; involved in L-ascorbate uptake
ulaB	PTS Enzyme IIB; involved in L-ascorbate uptake
ulaC	PTS Enzyme IIA; involved in L-ascorbate uptake
ulaD	3-keto-L-gulonate-6-phosphate decarboxylase; involved in the utilization of L-ascorbate by anaerobic fermentation; dimeric
ulaE	L-xylulose 5-phosphate 3-epimerase; involved in the utilization of L-ascorbate by anaerobic fermentation
ulaF	L-ribulose 5-phosphate 4-epimerase; involved in the utilization of L-ascorbate by anaerobic fermentation
yjfY	Predicted periplasmic protein, YhcN family, function unknown
yjfZ	Function unknown
ytfB	Function unknown
fklB	FKBP-type peptidyl-prolyl cis-trans isomerase; contains pipecolic acid residue
cycA	D-alanine, beta-alanine, D-serine, glycine permease; D-cycloserine uptake
ytfE	Iron-sulfur cluster repair protein; confers resistance to nitric oxide and hydrogen peroxide; di-iron center
ytfF	Inner membrane protein, DMT transporter family, function unknown
qorB	Quinone oxidoreductase B, NADPH dependent; QOR2
ytfH	Predicted transcriptional regulator, HxlR-type, DUF24 family; function unknown
ytfI	Function unknown
ytfJ	Expressed periplasmic protein, function unknown
ytfK	Function unknown, DUF1107 family
ytfL	Inner membrane protein, UPF0053  family, function unknown
ytfM	Outer membrane protein, function unknown; has a C-terminal beta-barrel OM protein domain and an N-terminal periplasmic domain
ytfN	Function unknown, DUF490 family
ytfP	Function unknown, UPF0131 family
ytfQ	Galactofuranose binding protein, periplasmic; part of a predicted ABC transporter YtfQRT-YjfF probably specific for galactofuranse transport
ytfR	Predicted ABC transporter ATP-binding protein; part of a predicted ABC transporter YtfQRT-YjfF probably specific for galactofuranse transport
ytfT	Predicted ABC transporter permease protein; part of a predicted ABC transporter YtfQRT-YjfF probably specific for galactofuranse transport
yjfN	Predicted periplasmic protein, YhcN family, function unknown
garD	D-galactarate dehydratase; uxaA paralog; contains conserved CxxS redox motif
